Timestamp,pH,pH_lower,pH_upper,pH_bias_up,pH_bias_low,pH_drift_up,pH_drift_low,pH_precision,pH_stuck,pH_spike,test_normal,test_bias_up,test_bias_low,test_drift_up,test_drift_low,test_precision,test_stuck,test_spike,serial_normal,serial_bias_up,serial_bias_low,serial_drift_up,serial_drift_low,serial_precision,serial_stuck,serial_spike,pH(t-1),pH(t-2),pH(t-3)
2023-09-02 14:28:30,5.6985,5.4985,5.8985,6.6985,4.6985,5.6985,5.6985,5.847514246,5.6985,5.6985,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.6985,5.700833333,5.688333333
2023-09-02 14:34:36,5.700833333,5.500833333,5.900833333,6.700833333,4.700833333,5.701333333,5.700333333,5.659354043,5.6985,5.700833333,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.700833333,5.688333333,5.668
2023-09-02 14:39:45,5.688333333,5.488333333,5.888333333,6.688333333,4.688333333,5.689333333,5.687333333,5.882639895,5.6985,5.688333333,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.688333333,5.668,5.6845
2023-09-02 14:44:45,5.668,5.468,5.868,6.668,4.668,5.6695,5.6665,6.124908957,5.6985,5.668,1,1,1,1,1,0,1,1,0,1,1,2,2,0,4,5,5.668,5.6845,5.6765
2023-09-02 14:49:45,5.6845,5.4845,5.8845,6.6845,4.6845,5.6865,5.6825,5.614253988,5.6985,5.6845,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.6845,5.6765,5.6725
2023-09-02 14:54:45,5.6765,5.4765,5.8765,6.6765,4.6765,5.679,5.674,5.606258913,5.6985,5.6765,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.6765,5.6725,5.666166667
2023-09-02 14:59:45,5.6725,5.4725,5.8725,6.6725,4.6725,5.6755,5.6695,6.146263845,5.6985,5.6725,1,1,1,1,1,0,1,1,0,1,1,2,2,0,4,5,5.6725,5.666166667,5.667666667
2023-09-02 15:04:45,5.666166667,5.466166667,5.866166667,6.666166667,4.666166667,5.669666667,5.662666667,5.896397085,5.6985,5.666166667,1,1,1,1,1,0,1,1,0,1,1,2,2,0,4,5,5.666166667,5.667666667,5.671
2023-09-02 15:09:45,5.667666667,5.467666667,5.867666667,6.667666667,4.667666667,5.671666667,5.663666667,5.526824351,5.6985,6.167666667,1,1,1,1,1,1,1,0,0,1,1,2,2,3,4,0,5.667666667,5.671,5.674
2023-09-02 15:14:45,5.671,5.471,5.871,6.671,4.671,5.6755,5.6665,5.833768013,5.6985,5.671,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.671,5.674,5.670666667
2023-09-02 15:19:45,5.674,5.474,5.874,6.674,4.674,5.679,5.669,5.534974692,5.6985,5.674,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.674,5.670666667,5.668333333
2023-09-02 15:24:45,5.670666667,5.470666667,5.870666667,6.670666667,4.670666667,5.676166667,5.665166667,5.530947741,5.6985,5.670666667,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.670666667,5.668333333,5.69
2023-09-02 15:29:45,5.668333333,5.468333333,5.868333333,6.668333333,4.668333333,5.674333333,5.662333333,5.740922015,5.6985,5.668333333,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.668333333,5.69,5.675333333
2023-09-02 15:34:45,5.69,5.49,5.89,6.69,4.69,5.6965,5.6835,5.116015927,5.6985,5.69,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.69,5.675333333,5.6735
2023-09-02 15:39:45,5.675333333,5.475333333,5.875333333,6.675333333,4.675333333,5.682333333,5.668333333,5.157857984,5.6985,5.675333333,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.675333333,5.6735,5.676333333
2023-09-02 15:44:45,5.6735,5.4735,5.8735,6.6735,4.6735,5.681,5.666,5.504813741,5.6985,5.6735,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.6735,5.676333333,5.681666667
2023-09-02 15:49:45,5.676333333,5.476333333,5.876333333,6.676333333,4.676333333,5.684333333,5.668333333,5.372483997,5.6985,6.176333333,1,1,1,1,1,1,1,0,0,1,1,2,2,3,4,0,5.676333333,5.681666667,5.681
2023-09-02 15:54:45,5.681666667,5.481666667,5.881666667,6.681666667,4.681666667,5.690166667,5.673166667,5.775940866,5.6985,5.681666667,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.681666667,5.681,5.681
2023-09-02 15:59:45,5.681,5.481,5.881,6.681,4.681,5.69,5.672,5.408592777,5.6985,5.681,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.681,5.681,5.682333333
2023-09-02 16:04:45,5.681,5.481,5.881,6.681,4.681,5.6905,5.6715,5.25730889,5.6985,5.681,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.681,5.682333333,5.673
2023-09-02 16:09:45,5.682333333,5.482333333,5.882333333,6.682333333,4.682333333,5.692333333,5.672333333,6.122027964,5.6985,5.682333333,1,1,1,1,1,0,1,1,0,1,1,2,2,0,4,5,5.682333333,5.673,5.681666667
2023-09-02 16:14:45,5.673,5.473,5.873,6.673,4.673,5.6835,5.6625,5.60526711,5.6985,5.673,1,1,1,1,1,1,1,1,0,1,1,2,2,3,4,5,5.673,5.681666667,5.682166667
