fold,repeat,train_accuracy,val_accuracy
1,1,0.9922340221179441,0.9447600230509591
2,1,0.9925633215334376,0.9434016629620482
3,1,0.9926182047693533,0.9412200543344036
4,1,0.9925770423424165,0.9440602617930354
1,2,0.9922340221179441,0.9447600230509591
2,2,0.9925633215334376,0.9434016629620482
3,2,0.9926182047693533,0.9412200543344036
4,2,0.9925770423424165,0.9440602617930354
1,3,0.9922340221179441,0.9447600230509591
2,3,0.9925633215334376,0.9434016629620482
3,3,0.9926182047693533,0.9412200543344036
4,3,0.9925770423424165,0.9440602617930354
1,4,0.9922340221179441,0.9447600230509591
2,4,0.9925633215334376,0.9434016629620482
3,4,0.9926182047693533,0.9412200543344036
4,4,0.9925770423424165,0.9440602617930354
1,5,0.9922340221179441,0.9447600230509591
2,5,0.9925633215334376,0.9434016629620482
3,5,0.9926182047693533,0.9412200543344036
4,5,0.9925770423424165,0.9440602617930354
