fold,repeat,train_accuracy,val_accuracy
1,1,0.931297976273552,0.8607912916056102
2,1,0.931751570132589,0.8579652501570023
3,1,0.9329053417536024,0.8621375484141107
4,1,0.9328704511356896,0.8539725740605045
1,2,0.931297976273552,0.8607912916056102
2,2,0.931751570132589,0.8579652501570023
3,2,0.9329053417536024,0.8621375484141107
4,2,0.9328704511356896,0.8539725740605045
1,3,0.931297976273552,0.8607912916056102
2,3,0.931751570132589,0.8579652501570023
3,3,0.9329053417536024,0.8621375484141107
4,3,0.9328704511356896,0.8539725740605045
1,4,0.931297976273552,0.8607912916056102
2,4,0.931751570132589,0.8579652501570023
3,4,0.9329053417536024,0.8621375484141107
4,4,0.9328704511356896,0.8539725740605045
1,5,0.931297976273552,0.8607912916056102
2,5,0.931751570132589,0.8579652501570023
3,5,0.9329053417536024,0.8621375484141107
4,5,0.9328704511356896,0.8539725740605045
