fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.3115279225426099,0.8636288795587388,0.2994714286698132,0.8692681320490656
2,1,0.29816846327594426,0.8693092944760024,0.2974452920833914,0.8696385938914959
3,1,0.294555330568616,0.870159984632694,0.28920305912224564,0.8700502181608628
4,1,0.28834360892137684,0.8709695123624489,0.2774982198060393,0.8756071457973162
1,2,0.2859447593043342,0.8721769435525919,0.2740818400309368,0.8786531653906314
2,2,0.2771794545392377,0.8764578359540078,0.27699127032319626,0.8759776076397464
3,2,0.2721781016209035,0.877775033615982,0.27128873901226097,0.8782415411212645
4,2,0.2813068302817227,0.8758266787409785,0.2706184648232379,0.8799703630526056
1,3,0.2745803461521099,0.8764715567629867,0.2618350468953698,0.8825224335226804
2,3,0.26940833635971506,0.8783650284020745,0.2690795342979964,0.8775006174364041
3,3,0.26840349462238344,0.8785022364918635,0.2630869433951823,0.8795587387832386
4,3,0.26797989596781707,0.8786668861996103,0.2571612287611998,0.8825224335226804
1,4,0.26736528291774503,0.8784610740649269,0.25630704896999945,0.8841277681732115
2,4,0.2618089619659932,0.8808759364452128,0.2636643712720079,0.8795999012101754
3,4,0.26591404031517774,0.8789961856151038,0.26050903289831756,0.8809170988721495
4,4,0.266666066742752,0.8791882769408085,0.257709055532489,0.8822754589610603
1,5,0.26662805194516614,0.8786806070085892,0.25328749202842704,0.885403803408249
2,5,0.2602911179959946,0.8808347740182761,0.2592270388285326,0.8806701243105294
3,5,0.2613701907058784,0.8804231497489092,0.255423284056402,0.8822754589610603
4,5,0.26135923701035185,0.8804780329848247,0.25349221103422315,0.8840454433193381
