fold,repeat,train_accuracy,val_accuracy
1,1,0.9999305555555555,0.9995833333333334
2,1,0.9998958333333333,0.9988541666666667
3,1,0.9998958333333333,0.9982291666666666
4,1,0.9999305555555555,0.9991666666666666
1,2,0.9999305555555555,0.9995833333333334
2,2,0.9998958333333333,0.9988541666666667
3,2,0.9998958333333333,0.9982291666666666
4,2,0.9999305555555555,0.9991666666666666
1,3,0.9999305555555555,0.9995833333333334
2,3,0.9998958333333333,0.9988541666666667
3,3,0.9998958333333333,0.9982291666666666
4,3,0.9999305555555555,0.9991666666666666
1,4,0.9999305555555555,0.9995833333333334
2,4,0.9998958333333333,0.9988541666666667
3,4,0.9998958333333333,0.9982291666666666
4,4,0.9999305555555555,0.9991666666666666
1,5,0.9999305555555555,0.9995833333333334
2,5,0.9998958333333333,0.9988541666666667
3,5,0.9998958333333333,0.9982291666666666
4,5,0.9999305555555555,0.9991666666666666
