fold,repeat,training loss,training accuracy,validation loss,validation accuracy
1,1,0.23519904953427248,0.9186051315952568,0.2212879113362247,0.9267033012436475
2,1,0.23052076709617883,0.920863804762495,0.22444045642791305,0.9247200760236335
3,1,0.2138423582403225,0.9229709815587599,0.20875257798942462,0.9249679791761352
4,1,0.2093586412581874,0.9243895384869645,0.21259168244161797,0.9220344585381978
1,2,0.21143268923861472,0.9225578096379237,0.19931499945415151,0.9279428170061562
2,2,0.20856148631452312,0.923700918618904,0.20358132577052201,0.9257530058257241
3,2,0.20803826734298245,0.9237146910162652,0.20313417235591935,0.9253811510969715
4,2,0.2054408822419973,0.9249817515734964,0.20966582721118718,0.9219518241540305
1,3,0.20876557094179687,0.9230122987508436,0.19761662588245454,0.9279841341982399
2,3,0.20596132147119442,0.9239763665661281,0.20067366064100448,0.9262901293228112
3,3,0.20622478430037286,0.9242518145133524,0.20180185401131787,0.9254224682890551
4,3,0.20394276291803878,0.9252709719180818,0.20783473773334757,0.9221584101144487
1,4,0.20761916222977556,0.9232739743007066,0.19612441200454492,0.9280667685824071
2,4,0.2052259368863235,0.9242242697186299,0.20187633999431998,0.9257116886336405
3,4,0.20481894209184026,0.9244033108843256,0.20080743190073255,0.9255051026732223
4,4,0.202277859895081,0.9255601922626672,0.2064717389440094,0.922117092922365
1,5,0.2064645281016472,0.9234254706716798,0.1951082269514724,0.9282733545428252
2,5,0.20404034762456946,0.9242931317054359,0.20070699786283028,0.9258356402098913
3,5,0.20388778023568807,0.9244584004737705,0.1992237146795413,0.925546419865306
4,5,0.20186892119447924,0.9255877370573896,0.20610882640771286,0.9222823616906995
